State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8743967960840531	0.020696879694040958	0.06203467754804688	0.039497872794745016	0.0	0.0	7.223200562906051E-5	4.075994269588865E-4	0.0018591387269354066	0.0010348037195906314
2	0.031225127772975397	0.8160252760983194	0.14008690756881187	0.005254987927751161	5.274951244042276E-4	0.0010625303967225917	0.00236579988714649	0.001895155025944986	0.0015567201979238571	0.0
3	0.03863088128275576	0.05478899097229924	0.714106589643112	0.004542870252390228	0.0019227088799250794	3.3342995600181005E-4	0.004646910789253793	0.0020735473253175023	0.15990968958578494	0.01904438131315973
4	0.042143507211776905	0.0038637017347906413	0.008611905096708469	0.8629596255680344	0.058358374234121886	0.022040260857662322	0.0017212894822542248	4.0240760663644215E-5	2.61095053987574E-4	0.0
5	3.0803548958426987E-7	6.750480792032507E-5	0.0010476537540878225	0.019525466246064004	0.9311115133718461	0.03840851704354477	0.001526535433614827	9.390967379720916E-5	0.008218591633635308	0.0
6	0.0	4.327505292855027E-4	3.26105969591999E-4	0.012802723332856232	0.06953514598907798	0.8673825827743075	0.04875387974656458	7.667735866834102E-4	3.807163278213935E-8	0.0
7	9.415841876792487E-6	2.521044051173679E-4	0.0011165188006850989	2.0129252528763627E-4	6.192793399576076E-4	0.010845825717935055	0.9704055436885788	6.575235632127677E-4	0.01589249611734907	0.0
8	1.8777342235081442E-4	7.42982387200747E-4	0.0013945449354853111	3.770780643064535E-8	1.4210797763910112E-4	4.622633663853719E-4	0.002181470080862454	0.8769454511959972	0.11583595503768382	0.002107413888588794
9	2.3822155998610334E-5	7.704504161857066E-6	0.003799576826128603	3.6765551428464606E-6	3.1525371256997176E-4	0.0	0.0014855362293595747	0.0031930060436270247	0.987996986625826	0.0031744373471853066
10	6.14934972274396E-5	0.0	0.0019504335096334265	0.0	0.0	0.0	0.0	2.2246429317774355E-4	0.013968299905278897	0.9837973087946825
